JCR Year and Edition: 2012 Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
DISTRIB PARALLEL DAT;0926-8782;285;0.806;1.128;0.067;15;9.2;0.00048;0.354;
EARTH SCI INFORM;1865-0473;52;0.404;0.573;0.235;17;;0.00027;0.191;
ELECTRON COMMER R A;1567-4223;536;1.480;1.809;0.234;47;4.5;0.00174;0.501;
EMPIR SOFTW ENG;1382-3256;467;1.180;1.756;0.417;24;6.3;0.00131;0.612;
ENG APPL ARTIF INTEL;0952-1976;2085;1.625;1.947;0.253;154;5.1;0.00583;0.550;
ENG COMPUT-GERMANY;0177-0667;468;0.600;0.665;0.091;33;>10.0;0.00076;0.276;
ENG COMPUTATION;0264-4401;831;1.214;1.286;0.152;46;9.0;0.00225;0.552;
ENTERP INF SYST-UK;1751-7575;579;9.256;4.771;2.682;22;2.0;0.00173;0.907;
ENVIRON MODELL SOFTW;1364-8152;4818;3.476;3.608;0.979;145;5.1;0.01456;1.040;
EUR J INFORM SYST;0960-085X;1268;1.558;2.422;0.421;38;6.3;0.00352;0.875;
EVOL COMPUT;1063-6560;1944;2.109;3.027;0.364;22;>10.0;0.00263;1.358;
EXPERT SYST;0266-4720;337;0.769;1.037;0.097;31;7.1;0.00059;0.253;
EXPERT SYST APPL;0957-4174;13933;1.854;2.339;0.401;1363;3.3;0.04216;0.498;
FORM ASP COMPUT;0934-5043;249;0.500;0.591;0.135;37;>10.0;0.00095;0.397;
FORM METHOD SYST DES;0925-9856;256;0.282;0.727;0.038;26;9.0;0.00081;0.466;
FOUND COMPUT MATH;1615-3375;542;1.918;2.863;0.304;23;4.7;0.00797;3.899;
FRONT COMPUT SCI-CHI;2095-2228;77;0.298;;0.033;60;;0.00047;;
FUND INFORM;0169-2968;966;0.399;0.471;0.071;155;6.5;0.00427;0.274;
FUTURE GENER COMP SY;0167-739X;1850;1.864;2.033;0.623;122;4.5;0.00476;0.529;
FUZZY OPTIM DECIS MA;1568-4539;295;1.488;1.814;0.136;22;4.6;0.00123;0.623;
FUZZY SET SYST;0165-0114;10518;1.749;2.218;0.246;171;>10.0;0.01099;0.636;
GENET PROGRAM EVOL M;1389-2576;154;1.333;1.282;0.067;15;4.3;0.00068;0.497;
GEOINFORMATICA;1384-6175;329;1.000;1.218;0.333;24;7.5;0.00080;0.419;
GRAPH MODELS;1524-0703;609;0.697;1.295;0.152;33;>10.0;0.00101;0.741;
HUM-COMPUT INTERACT;0737-0024;851;2.250;3.039;0.667;12;>10.0;0.00118;1.329;
IBM J RES DEV;0018-8646;3005;0.688;1.684;2.768;56;>10.0;0.00437;0.832;
ICGA J;1389-6911;67;0.519;0.723;;;;0.00029;0.259;
IEEE ACM T COMPUT BI;1545-5963;1027;1.616;1.748;0.317;167;4.2;0.00513;0.747;
IEEE ACM T NETWORK;1063-6692;4754;2.014;2.733;0.181;149;7.5;0.01519;1.281;
IEEE ANN HIST COMPUT;1058-6180;157;0.575;0.491;0.087;23;9.8;0.00036;0.192;
IEEE COMMUN SURV TUT;1553-877X;1276;4.818;6.348;0.633;60;3.8;0.00602;2.496;
IEEE COMPUT ARCHIT L;1556-6056;100;0.852;;0.062;16;4.5;0.00073;;
IEEE COMPUT GRAPH;0272-1716;1556;1.228;1.741;0.156;45;>10.0;0.00345;1.004;
IEEE COMPUT INTELL M;1556-603X;495;4.629;3.808;0.111;18;4.3;0.00214;1.236;
IEEE DES TEST COMPUT;0740-7475;847;1.623;1.456;0.024;41;7.3;0.00250;0.666;
IEEE INTELL SYST;1541-1672;1626;1.930;2.538;0.191;47;7.6;0.00360;0.924;
IEEE INTERNET COMPUT;1089-7801;1477;2.039;2.498;0.288;52;6.5;0.00479;1.036;
IEEE LAT AM T;1548-0992;136;0.218;;0.074;176;2.9;0.00022;;
IEEE MICRO;0272-1732;1361;2.386;2.706;0.324;37;7.0;0.00536;1.505;
IEEE MULTIMEDIA;1070-986X;492;0.984;1.145;0.032;31;7.2;0.00151;0.567;
IEEE NETWORK;0890-8044;1305;2.853;2.642;0.273;44;7.1;0.00383;1.154;
IEEE PERVAS COMPUT;1536-1268;1219;2.055;2.566;0.194;36;7.0;0.00354;1.114;
IEEE SECUR PRIV;1540-7993;662;0.962;1.019;0.164;61;5.9;0.00258;0.460;
IEEE SOFTWARE;0740-7459;1758;1.616;1.584;0.216;51;9.4;0.00311;0.597;
IEEE SYST J;1932-8184;285;1.270;1.234;0.134;67;2.9;0.00173;0.445;
IEEE T AUTON MENT DE;1943-0604;155;2.170;2.258;0.227;22;2.6;0.00052;0.454;
IEEE T COMP INTEL AI;1943-068X;134;1.694;1.625;0.739;23;2.5;0.00037;0.293;
IEEE T COMPUT;0018-9340;5598;1.379;1.726;0.231;143;>10.0;0.01037;0.867;
IEEE T COMPUT AID D;0278-0070;3392;1.093;1.323;0.180;167;7.7;0.00724;0.462;
IEEE T DEPEND SECURE;1545-5971;530;1.059;1.576;0.174;69;5.8;0.00210;0.706;
IEEE T EVOLUT COMPUT;1089-778X;5667;4.810;6.226;0.321;53;8.8;0.00835;1.770;
IEEE T FUZZY SYST;1063-6706;6237;5.484;4.885;0.581;93;7.4;0.01113;1.201;
IEEE T HAPTICS;1939-1412;140;1.393;1.500;0.083;36;2.8;0.00062;0.396;
IEEE T IMAGE PROCESS;1057-7149;13814;3.199;4.017;0.407;408;7.6;0.03535;1.642;
IEEE T IND INFORM;1551-3203;969;3.381;3.191;0.880;92;2.6;0.00271;0.675;
IEEE T INF FOREN SEC;1556-6013;1134;1.895;2.259;0.280;157;3.9;0.00694;0.953;
IEEE T INF TECHNOL B;1089-7771;2232;1.978;2.327;0.542;144;4.6;0.00595;0.623;
IEEE T INFORM THEORY;0018-9448;28851;2.621;3.069;0.517;497;9.2;0.05604;1.378;
IEEE T KNOWL DATA EN;1041-4347;4094;1.892;2.426;0.217;161;7.2;0.01250;1.129;
IEEE T LEARN TECHNOL;1939-1382;106;0.758;0.893;0.207;29;3.0;0.00060;0.304;
IEEE T MED IMAGING;0278-0062;11439;4.027;4.268;0.603;194;9.1;0.02012;1.402;
IEEE T MOBILE COMPUT;1536-1233;2844;2.395;3.071;0.274;157;5.0;0.01424;1.406;
IEEE T MULTIMEDIA;1520-9210;2217;1.754;2.158;0.173;139;5.4;0.01039;0.988;
IEEE T NEUR NET LEAR;2162-237X;9766;3.766;3.632;0.785;177;8.8;0.01665;1.080;
IEEE T PARALL DISTR;1045-9219;3091;1.796;2.031;0.186;220;6.3;0.01026;0.824;
IEEE T PATTERN ANAL;0162-8828;24947;4.795;6.144;0.625;192;>10.0;0.05224;3.240;
IEEE T RELIAB;0018-9529;2976;2.293;2.067;0.212;99;>10.0;0.00481;0.767;
IEEE T SERV COMPUT;1939-1374;244;2.460;;0.300;40;2.8;0.00137;;
IEEE T SOFTWARE ENG;0098-5589;4208;2.588;3.371;0.268;82;>10.0;0.00585;1.334;
IEEE T SYST MAN CY A;1083-4427;2785;2.183;2.440;0.465;127;6.1;0.00727;0.770;
IEEE T SYST MAN CY B;1083-4419;5821;3.236;3.949;0.439;132;6.3;0.01746;1.449;
IEEE T SYST MAN CY C;1094-6977;2037;2.548;3.105;0.151;152;5.6;0.00685;1.051;
IEEE T VIS COMPUT GR;1077-2626;3446;1.898;2.445;0.234;256;5.1;0.01656;1.095;
IEEE T VLSI SYST;1063-8210;2328;1.218;1.252;0.198;242;5.9;0.01023;0.645;
IEEE WIREL COMMUN;1536-1284;1898;3.740;3.248;0.426;68;5.7;0.00762;1.407;
IEICE T FUND ELECTR;0916-8508;1357;0.238;0.270;0.053;323;7.0;0.00326;0.091;
IEICE T INF SYST;0916-8532;913;0.218;0.268;0.049;371;6.0;0.00275;0.097;
IET COMPUT DIGIT TEC;1751-8601;120;0.284;0.447;0.023;43;4.6;0.00097;0.213;
IET COMPUT VIS;1751-9632;106;0.636;0.853;0.149;47;3.1;0.00051;0.254;
IET INFORM SECUR;1751-8709;71;0.623;0.625;0.026;39;;0.00054;0.278;
IET SOFTW;1751-8806;127;0.658;0.682;0.059;51;3.3;0.00068;0.221;
IMAGE VISION COMPUT;0262-8856;3572;1.959;1.952;0.077;91;8.0;0.01021;0.852;
IND MANAGE DATA SYST;0263-5577;1219;1.674;1.650;0.104;67;6.1;0.00185;0.295;
INF TECHNOL CONTROL;1392-124X;125;0.667;0.560;0.000;38;3.4;0.00040;0.112;
INFOR;0315-5986;325;0.395;0.585;0.000;9;>10.0;0.00061;0.332;
INFORM COMPUT;0890-5401;3448;0.699;0.890;0.079;63;>10.0;0.00587;0.923;
INFORM FUSION;1566-2535;840;2.262;2.838;1.000;25;5.6;0.00247;0.918;
INFORM MANAGE-AMSTER;0378-7206;3091;1.663;3.178;0.083;36;8.3;0.00396;0.876;
INFORM PROCESS LETT;0020-0190;2608;0.488;0.606;0.097;195;>10.0;0.00863;0.454;
INFORM PROCESS MANAG;0306-4573;1681;0.817;1.388;0.210;81;8.1;0.00367;0.534;
INFORM RETRIEVAL;1386-4564;532;0.630;1.109;0.000;22;>10.0;0.00125;0.561;
INFORM SCIENCES;0020-0255;10013;3.643;3.676;0.762;425;4.7;0.02859;0.945;
INFORM SOFTWARE TECH;0950-5849;1459;1.522;1.692;0.236;89;5.5;0.00486;0.608;
INFORM SYST;0306-4379;904;1.768;1.838;0.283;53;5.9;0.00319;0.759;
INFORM SYST FRONT;1387-3326;489;0.851;1.145;0.477;65;4.9;0.00122;0.318;
INFORM SYST MANAGE;1058-0530;360;0.352;0.750;0.038;26;7.4;0.00053;0.195;
INFORM TECHNOL LIBR;0730-9295;92;0.595;0.484;;;;0.00039;0.243;
INFORM VISUAL;1473-8716;238;1.000;;0.100;20;4.9;0.00121;;
INFORMATICA-LITHUAN;0868-4952;281;1.117;1.054;0.086;35;4.1;0.00096;0.296;
INFORMS J COMPUT;1091-9856;1060;1.370;1.819;0.152;46;7.5;0.00540;1.246;
INT ARAB J INF TECHN;1683-3198;123;0.390;;0.013;75;3.6;0.00024;;
INT J AD HOC UBIQ CO;1743-8225;113;0.511;0.539;0.049;61;3.7;0.00047;0.149;
INT J AP MAT COM-POL;1641-876X;562;1.008;1.146;0.173;75;5.1;0.00125;0.261;
INT J APPROX REASON;0888-613X;1920;1.729;2.165;0.447;85;5.5;0.00616;0.745;
INT J ARTIF INTELL T;0218-2130;263;0.250;0.453;0.054;56;6.4;0.00074;0.174;
INT J BIO-INSPIR COM;1758-0366;180;1.351;1.716;0.054;37;2.8;0.00072;0.404;
INT J COMPUT COMMUN;1841-9836;175;0.441;0.436;0.060;84;4.0;0.00057;0.093;
INT J COMPUT GEOM AP;0218-1959;215;0.176;0.253;0.000;22;>10.0;0.00071;0.273;
INT J COMPUT INTEG M;0951-192X;770;0.944;1.120;0.062;80;5.5;0.00157;0.239;
INT J COMPUT VISION;0920-5691;8984;3.623;4.856;0.511;90;8.6;0.02504;3.077;
INT J COOP INF SYST;0218-8430;152;0.526;0.940;0.000;9;7.3;0.00055;0.472;
INT J CRIT INFR PROT;1874-5482;41;0.630;0.784;0.067;15;;0.00031;0.349;
INT J DATA WAREHOUS;1548-3924;118;1.355;;0.077;13;3.9;0.00052;;
INT J DISTRIB SENS N;1550-1329;197;0.727;0.430;0.119;286;3.5;0.00024;0.059;
